event_name,wikipedia_url,scraped_at,date_raw,venue,venue_wiki_path,location,attendance,attendance_raw,gate_revenue,gate_raw,venue_capacity,sell_through,source,ppv_buys,event_date
UFC 101: Declaration,https://en.wikipedia.org/wiki/UFC_101%3A_Declaration,2025-12-07T15:56:33.911409,"August 8, 2009",Wachovia Center,/wiki/Wells_Fargo_Center_(Philadelphia),"Philadelphia,Pennsylvania",17411.0,"17,411[1]",3550000.0,"$3,550,000[1]",21000.0,0.8290952380952381,Wikipedia,850000.0,2009-08-08
UFC 100,https://en.wikipedia.org/wiki/UFC_100,2025-12-07T15:56:38.609813,"July 11, 2009",Mandalay Bay Events Center,/wiki/Mandalay_Bay_Events_Center,"Las Vegas, Nevada",10871.0,"10,871 (9,764 paid)[1]",5101740.0,"$5,101,740[1]",12000.0,0.9059166666666667,Wikipedia,1600000.0,2009-07-11
UFC Fight Night: Condit vs Kampmann,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Condit_vs_Kampmann,2025-12-07T15:56:56.633647,"April 1, 2009",Sommet Center,/wiki/Sommet_Center,"Nashville,Tennessee",10267.0,"10,267[1]",626077.0,"$626,077[1]",20000.0,0.51335,Wikipedia,,2009-04-01
UFC Fight Night: Lauzon vs Stephens,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Lauzon_vs_Stephens,2025-12-07T15:57:08.640085,"February 7, 2009",USF Sun Dome[1],/wiki/USF_Sun_Dome,"Tampa,Florida[1]",7596.0,"7,596",428000.0,"$428,000",10500.0,0.7234285714285714,Wikipedia,,2009-02-07
UFC Fight Night: Diaz vs Neer,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Diaz_vs_Neer,2025-12-07T15:57:41.771214,"September 17, 2008",Omaha Civic Auditorium,/wiki/Omaha_Civic_Auditorium,"Omaha,Nebraska",9103.0,"9,103",700000.0,"$700,000",10960.0,0.8305656934306569,Wikipedia,,2008-09-17
UFC: Silva vs Irvin,https://en.wikipedia.org/wiki/UFC%3A_Silva_vs_Irvin,2025-12-07T15:57:53.337236,"July 19, 2008",Palms Casino Resort,/wiki/Palms_Casino_Resort,"Las Vegas, Nevada",2071.0,"2,071[1]",,,,,Wikipedia,,2008-07-19
UFC Fight Night: Florian vs Lauzon,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Florian_vs_Lauzon,2025-12-07T15:58:17.501950,"April 2, 2008",Broomfield Event Center,/wiki/Broomfield_Event_Center,"Broomfield,Colorado",6742.0,"6,742[1]",753429.0,"$753,429[1]",6500.0,1.0372307692307692,Wikipedia,,2008-04-02
UFC 81: Breaking Point,https://en.wikipedia.org/wiki/UFC_81%3A_Breaking_Point,2025-12-07T15:58:26.948187,"February 2, 2008",Mandalay Bay Events Center,/wiki/Mandalay_Bay_Events_Center,"Las Vegas, Nevada",10583.0,"10,583 (7,167 paid)",2437890.0,"$2,437,890",12000.0,0.8819166666666667,Wikipedia,650000.0,2008-02-02
UFC Fight Night: Thomas vs Florian,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Thomas_vs_Florian,2025-12-07T15:58:54.139121,"September 19, 2007",Palms Casino Resort,/wiki/Palms_Casino_Resort,"Las Vegas, Nevada",,,270000.0,"$270,000[1]",,,Wikipedia,,2007-09-19
UFC 64: Unstoppable,https://en.wikipedia.org/wiki/UFC_64%3A_Unstoppable,2025-12-07T15:59:59.090832,"October 14, 2006",Mandalay Bay Events Center,/wiki/Mandalay_Bay_Events_Center,"Las Vegas, Nevada",10173.0,"10,173 (8,913 paid)[1]",1790490.0,"$1,790,490[1]",12000.0,0.84775,Wikipedia,300000.0,2006-10-14
UFC Fight Night 5,https://en.wikipedia.org/wiki/UFC_Fight_Night_5,2025-12-07T16:00:22.571733,"June 28, 2006",Hard Rock Hotel and Casino,/wiki/Hard_Rock_Hotel_and_Casino_(Las_Vegas),"Paradise, Nevada",954.0,954[1],134368.0,"$134,368[2]",,,Wikipedia,,2006-06-28
UFC Fight Night 4,https://en.wikipedia.org/wiki/UFC_Fight_Night_4,2025-12-07T16:00:42.704612,"April 6, 2006",Hard Rock Hotel and Casino,/wiki/Hard_Rock_Hotel_and_Casino_(Las_Vegas),"Las Vegas, Nevada",843.0,843,199150.0,"$199,150[1]",,,Wikipedia,,2006-04-06
UFC Fight Night 3,https://en.wikipedia.org/wiki/UFC_Fight_Night_3,2025-12-07T16:00:57.784493,"January 16, 2006",Hard Rock Hotel and Casino,/wiki/Hard_Rock_Hotel_and_Casino_(Las_Vegas),"Las Vegas, Nevada",1008.0,"1,008",144600.0,"$144,600[1]",,,Wikipedia,,2006-01-16
UFC 9: Motor City Madness,https://en.wikipedia.org/wiki/UFC_9%3A_Motor_City_Madness,2025-12-07T16:04:34.495883,"May 17, 1996",Cobo Arena,/wiki/Cobo_Arena,"Detroit,Michigan",10000.0,"10,000",,,,,Wikipedia,141000.0,1996-05-17
UFC 4: Revenge of the Warriors,https://en.wikipedia.org/wiki/UFC_4%3A_Revenge_of_the_Warriors,2025-12-07T16:04:57.506998,"December 16, 1994",Expo Square Pavilion,/wiki/Expo_Square_Pavilion,"Tulsa, Oklahoma",5857.0,"5,857",,,6311.0,0.9280621137696086,Wikipedia,120000.0,1994-12-16
UFC 3: The American Dream,https://en.wikipedia.org/wiki/UFC_3%3A_The_American_Dream,2025-12-07T16:05:02.520012,"September 9, 1994[1]",Grady Cole Center,/wiki/Grady_Cole_Center,"Charlotte,North Carolina",3000.0,"3,000",,,2500.0,1.2,Wikipedia,90000.0,1994-09-09
UFC 2: No Way Out,https://en.wikipedia.org/wiki/UFC_2%3A_No_Way_Out,2025-12-07T16:05:06.868944,"March 11, 1994",Mammoth Gardens,/wiki/Mammoth_Gardens,"Denver,Colorado",2000.0,"2,000",,,3900.0,0.5128205128205128,Wikipedia,,1994-03-11
UFC Fight Night: Oliveira vs. Gamrot,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Oliveira_vs._Gamrot,2025-12-07T15:19:56.965147,"October 11, 2025(2025-10-11)",Farmasi Arena,/wiki/Farmasi_Arena,"Rio de Janeiro, Brazil",16297.0,"16,297[1]",1.0,Not announced[1],18768.0,0.8683397271952259,Wikipedia,,
UFC Fight Night: Ulberg vs. Reyes,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Ulberg_vs._Reyes,2025-12-07T15:20:03.642166,"September 28, 2025(2025-09-28)",RAC Arena,/wiki/Perth_Arena,"Perth, Australia",12543.0,"12,543[1]",1800000.0,"$1,800,000[1]",15500.0,0.8092258064516129,Wikipedia,,
UFC Fight Night: Lopes vs. Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Lopes_vs._Silva,2025-12-07T15:20:07.567429,"September 13, 2025(2025-09-13)",Frost Bank Center,/wiki/Frost_Bank_Center,"San Antonio, Texas, United States",18005.0,"18,005[1]",3586669.0,"$3,586,669[1]",19217.0,0.936930842483218,Wikipedia,,
UFC Fight Night: Imavov vs. Borralho,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Imavov_vs._Borralho,2025-12-07T15:20:11.637935,"September 6, 2025(2025-09-06)",Accor Arena,/wiki/Accor_Arena,"Paris, France",15724.0,"15,724[1]",4331000.0,"$4,331,000[1]",20300.0,0.7745812807881773,Wikipedia,,
