wikipedia_url,scraped_at,event_name,date_raw,event_date,venue,venue_wiki_path,location,attendance,attendance_raw,ppv_buys,ppv_buys_raw,venue_capacity,gate_revenue,gate_raw,sell_through
https://en.wikipedia.org/wiki/UFC_274,2025-12-11T18:56:49.731370,UFC 274,"May 7, 2022(2022-05-07)",2022-05-07,Footprint Center,/wiki/Footprint_Center,"Phoenix, Arizona, United States",17232.0,"17,232[1]",400000.0,"400,000 (US)[2]",17716.0,6130000.0,"$6,130,000[1]",0.9726800632196884
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Vera,2025-12-11T18:56:51.858494,UFC on ESPN: Font vs. Vera,"April 30, 2022(2022-04-30)",2022-04-30,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lemos_vs._Andrade,2025-12-11T18:56:53.893018,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022(2022-04-23)",2022-04-23,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._Muhammad_2,2025-12-11T18:56:55.917335,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022(2022-04-16)",2022-04-16,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_273,2025-12-11T18:56:57.904979,UFC 273,"April 9, 2022(2022-04-09)",2022-04-09,VyStar Veterans Memorial Arena,/wiki/VyStar_Veterans_Memorial_Arena,"Jacksonville,Florida, United States",14605.0,"14,605[1]",,,15000.0,3550053.07,"$3,550,053.07[1]",0.9736666666666667
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Daukaus,2025-12-11T18:56:59.882844,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022(2022-03-26)",2022-03-26,Nationwide Arena,/wiki/Nationwide_Arena,"Columbus, Ohio, United States",18630.0,"18,630[1]",,,20000.0,1921988.24,"$1,921,988.24[1]",0.9315
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Aspinall,2025-12-11T18:57:01.886658,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022(2022-03-19)",2022-03-19,The O2Arena,/wiki/The_O2_Arena,"London, England",17081.0,"17,081[1]",,,20000.0,4500000.0,"$4,500,000[1]",0.85405
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Ankalaev,2025-12-11T18:57:03.900292,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022(2022-03-12)",2022-03-12,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_272,2025-12-11T18:57:05.793078,UFC 272,"March 5, 2022(2022-03-05)",2022-03-05,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19425.0,"19,425[1]",,,20000.0,6760000.0,"$6,760,000[1]",0.97125
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Makhachev_vs._Green,2025-12-11T18:57:07.909794,UFC Fight Night: Makhachev vs. Green,"February 26, 2022(2022-02-26)",2022-02-26,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
